"variable","level","female","male","compare","missing_female","missing_male"
"age",NA,"40.3 (11.1)","45.4 (11.5)","0.830","0.0%","0.0%"
"bmi",NA,"27.0 (5.2)","25.0 (4.3)","0.208","0.0%","0.0%"
"waist_cm",NA,"85.1 (10.9)","89.7 (10.7)","0.211","0.0%","0.0%"
"alc_overall",NA,"5299 (0.2%)","5299 (39.3%)","NA","0.0%","0.0%"
"chd",NA,"5299 (1.5%)","5299 (3.3%)","2.50 (1.07, 5.83)","0.0%","0.0%"
"ckd",NA,"5299 (0.3%)","5299 (0.2%)","0.00 (0.00, Inf)","0.0%","0.0%"
"cva",NA,"5299 (0.4%)","5299 (0.7%)","6.23 (0.82, 47.36)","0.0%","0.0%"
"dm_biomarker0",NA,"5299 (20.1%)","5299 (23.6%)","2.52 (2.16, 2.93)","0.0%","0.0%"
"famhx_cvd",NA,"5299 (7.7%)","5299 (7.2%)","2.32 (1.71, 3.14)","0.0%","0.0%"
"famhx_dm",NA,"5299 (29.0%)","5299 (27.0%)","2.19 (1.93, 2.50)","0.0%","0.0%"
"famhx_htn",NA,"5299 (20.2%)","5299 (18.0%)","2.24 (1.91, 2.61)","0.0%","0.0%"
"htn",NA,"5299 (13.9%)","5299 (13.8%)","3.15 (2.62, 3.79)","0.0%","0.0%"
"smk_overall",NA,"5299 (3.1%)","5299 (38.8%)","3.10 (2.24, 4.30)","0.0%","0.0%"
"bmicat","0","37.2%","53.2%","< 0.001","0.0%","0.0%"
"bmicat","1","36.7%","35.3%","","",""
"bmicat","2","26.1%","11.4%","","",""
"educcat","1","20.5%","10.8%","< 0.001","0.0%","0.0%"
"educcat","2","61.5%","68.3%","","",""
"educcat","3","18.0%","20.9%","","",""
"employocccat","Employed","15.7%","88.0%","NA","0.0%","0.0%"
"employocccat","Not in the labor force, retired","0.6%","7.5%","","",""
"employocccat","Not in the labor force, student/housewives","83.2%","0.5%","","",""
"employocccat","Others","0.0%","0.2%","","",""
"employocccat","Unemployed","0.5%","3.8%","","",""
"multimorbiditycat","0","79.2%","75.7%","< 0.001","0.0%","0.0%"
"multimorbiditycat","1","15.3%","17.9%","","",""
"multimorbiditycat","2","5.5%","6.5%","","",""
